Row.names	Gene_symbol	Gene_type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUST00000170715	Rps2	protein_coding	779.905014114251	-13.1325787958263	1.02977393892384	-12.7528754607545	0.000000000000000000000000000000000000300454793554759	0.000000000000000000000000000000000169135563217223
ENSMUST00000118499	Rps6-ps4	processed_pseudogene	662.712788225495	-12.8966374121025	1.05966701607772	-12.1704622456199	0.000000000000000000000000000000000446546492474253	0.000000000000000000000000000000201100183128996
ENSMUST00000117870	Hspa8	protein_coding	660.242393649945	-12.8917061381714	1.03384020649564	-12.4697279687639	0.0000000000000000000000000000000000109198189619525	0.00000000000000000000000000000000551985705854288
ENSMUST00000171384	Tm4sf1	protein_coding	459.841052214378	-12.3693383087337	1.03116998000382	-11.9954406631271	0.00000000000000000000000000000000375413841178338	0.00000000000000000000000000000152436482494201
ENSMUST00000031243	Spp1	protein_coding	384.11435827872	-12.1077791904982	1.03952629302924	-11.6474006205417	0.000000000000000000000000000000236564986637543	0.0000000000000000000000000000849199732467435
ENSMUST00000008812	Rps18	protein_coding	358.743693328057	-12.0127897620977	1.04615532608015	-11.4827974992094	0.00000000000000000000000000000160985927410143	0.000000000000000000000000000553813949447475
ENSMUST00000046745	Tgtp2	protein_coding	315.084423749561	-11.8231232922229	1.10455751597546	-10.7039453547891	0.00000000000000000000000000975349271690844	0.0000000000000000000000026547721000561
ENSMUST00000106701	Scp2	protein_coding	269.731974399261	-11.6017121281385	1.05058067802807	-11.0431424932684	0.00000000000000000000000000023661051295404	0.0000000000000000000000000719092735626826
ENSMUST00000166939	Adgre5	protein_coding	202.228181169969	-11.1856334141768	1.07046621742499	-10.4493100595774	0.000000000000000000000000147595013828996	0.0000000000000000000000376884628611382
ENSMUST00000170248	Frem1	protein_coding	182.172619410173	-11.033602620145	1.05763962367664	-10.4322893858583	0.000000000000000000000000176581612000184	0.0000000000000000000000444035527678433
ENSMUST00000174745	Rps18	protein_coding	158.996693162953	-10.8387994615497	1.06810611350684	-10.1476803891361	0.00000000000000000000000339332825263959	0.00000000000000000000076929604286974
ENSMUST00000118574	Naip6	protein_coding	144.677555306331	-10.6992359674193	1.03820577966742	-10.3055060730318	0.000000000000000000000000665405231650358	0.00000000000000000000015924079403621
ENSMUST00000119570	Tpm3	protein_coding	128.998433246928	-10.5332268267853	1.15900626037541	-9.08815352159834	0.000000000000000000100735229032584	0.0000000000000000159943005635133
ENSMUST00000015800	Hspa8	protein_coding	1218.64333559491	-10.1846820539874	1.40682133832063	-7.2394992715601	0.000000000000450344299838304	0.0000000000373687703942879
ENSMUST00000075453	Rpl21	protein_coding	1360.33660410239	-10.1805448621404	0.500383804341123	-20.3454723630505	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000509191794649211	0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000019403340864102
ENSMUST00000106839	Trim12a	protein_coding	90.7864569866846	-10.0325804118006	1.0821611079534	-9.27087504629913	0.0000000000000000000184624961012506	0.00000000000000000315377631677155
ENSMUST00000140400	Cd55	protein_coding	89.6022798604544	-10.0079025172449	1.04403154285128	-9.585823901367	0.000000000000000000000917226206243839	0.000000000000000000168912831988503
ENSMUST00000165537	Apobec3	protein_coding	88.4362662904375	-9.99544863193719	1.04446594505286	-9.56991338902034	0.00000000000000000000106995268597192	0.000000000000000000195584192463753
ENSMUST00000125990	Prx	protein_coding	86.3437811278127	-9.95632068890461	2.69625026100189	-3.69265451093734	0.00022192542312567	0.00367437888061479
ENSMUST00000105169	Gm4294	processed_pseudogene	74.0171339376237	-9.73274115598892	1.78263133251916	-5.45976107254602	0.0000000476775767337669	0.00000197149565629161
